"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"25","FPS_YPS_Indirect",":=","FPS_FSU*FSU_YPS","FPS_YPS_Indirect",-0.216264813609484,0.0275104484967579,-7.86118821854069,3.77475828372553e-15,-0.270184301861673,-0.162345325357294
"26","ANT_YPS_Indirect",":=","(ANT_FSU*FSU_YPS)+(ANT_TGW*TGW_YPS)","ANT_YPS_Indirect",0.0523159516873481,0.0343271246933258,1.5240411818564,0.127498424129149,-0.0149639764043859,0.119595879779082
"27","STD_YPS_Indirect",":=","(STD_FSU*FSU_YPS)+(STD_TGW*TGW_YPS)","STD_YPS_Indirect",0.0570815981055486,0.0287893585849224,1.98273254116344,0.047397312696013,0.000655492141091792,0.113507704070005
"28","SPD_YPS_Indirect",":=","(SPD_FSU*FSU_YPS)+(SPD_TGW*TGW_YPS)","SPD_YPS_Indirect",-0.160741763122823,0.0269736551488539,-5.95921324847415,2.5345519016895e-09,-0.21360915574598,-0.107874370499666
"29","HIT_YPS_Indirect",":=","(HIT_FSU*FSU_YPS)+(HIT_TGW*TGW_YPS)","HIT_YPS_Indirect",0.2334787723833,0.0332764618449505,7.01633405231538,2.27773355732097e-12,0.168258105634276,0.298699439132324
"30","HIT_YPS_Direct",":=","(HIT_YPS)","HIT_YPS_Direct",0.0602896641198539,0.0110142603826507,5.47378235354052,4.40530070200396e-08,0.0387021104535121,0.0818772177861956
"31","FLA_YPS_Indirect",":=","(FLA_FSU*FSU_YPS)+(FLA_TGW*TGW_YPS)","FLA_YPS_Indirect",-0.0520349090444535,0.0276559960234325,-1.88150551512826,0.059903185757479,-0.106239665206964,0.00216984711805726
"32","FSU_YPS_Direct",":=","FSU_YPS","FSU_YPS_Direct",0.837905366464508,0.00976361251319988,85.8191950296783,0,0.818769037579632,0.857041695349384
"33","FSU_YPS_Indirect",":=","FSU_TGW*TGW_YPS","FSU_YPS_Indirect",-0.0683686960006814,0.00998742044131186,-6.84548091295745,7.62190310865662e-12,-0.0879436803641118,-0.048793711637251
"34","TGW_YPS_Direct",":=","TGW_YPS","TGW_YPS_Direct",0.377708758049915,0.0102300460481072,36.9215110346254,0,0.357658236235439,0.397759279864391
"35","SPS_YPS_Direct",":=","SPS_YPS","SPS_YPS_Direct",0.349855684504712,0.00965511127654779,36.2352824823997,0,0.330932014135952,0.368779354873472
"36","EMP_YPS_Indirect",":=","(EMP_TGW*TGW_YPS)+(EMP_FSU*FSU_YPS)","EMP_YPS_Indirect",0.0253752225518459,0.0353939490956022,0.716936742020653,0.473413129685106,-0.0439956429461784,0.0947460880498702
"37","RTC_YPS_Indirect",":=","(RTC_TGW*TGW_YPS)+(RTC_FSU*FSU_YPS)","RTC_YPS_Indirect",0.0300344360675933,0.0317654656170213,0.945505928661708,0.344400645489439,-0.0322247324939139,0.0922936046291005
"38","FPS_YPP_Indirect",":=","(FSU_YPS*YPS_YPP)+(FPS_YPS*YPS_YPP)","FPS_YPP_Indirect",0.576028130579122,0.0233557324297105,24.6632441227305,0,0.530251736184335,0.621804524973909
"39","HIT_YPP_Indirect",":=","(HIT_FSU*FSU_YPS*YPS_YPP)+(HIT_TGW*TGW_YPS*YPS_YPP)+(HIT_YPS*YPS_YPP)","HIT_YPP_Indirect",0.134818146095507,0.0166933223898915,8.0761721930887,6.66133814775094e-16,0.102099835429004,0.167536456762011
"40","STD_YPP_Indirect",":=","(STD_FSU*FSU_YPS*YPS_YPP)+(HIT_TGW*TGW_YPS*YPS_YPP)","STD_YPP_Indirect",0.0741608960060567,0.0139161039942988,5.32914212458023,9.86777561884367e-08,0.0468858333721172,0.101435958639996
"41","ANT_YPP_Indirect",":=","(ANT_FSU*FSU_YPS*YPS_YPP)+(ANT_TGW*TGW_YPS*YPS_YPP)","ANT_YPP_Indirect",0.0240091811825218,0.015780978497812,1.52140003142712,0.128159481002531,-0.00692096831399069,0.0549393306790344
"42","EMP_YPP_Indirect",":=","(EMP_FSU*FSU_YPS*YPS_YPP)+(EMP_TGW*TGW_YPS*YPS_YPP)","EMP_YPP_Indirect",0.0116453642941455,0.0162494685756896,0.716661239713882,0.473583147674388,-0.0202030088821215,0.0434937374704124
"43","SPD_YPP_Indirect",":=","(SPD_FSU*FSU_YPS*YPS_YPP)+(SPD_TGW*TGW_YPS*YPS_YPP)","SPD_YPP_Indirect",-0.0737686688273929,0.0127035189868864,-5.80694757913479,6.36220454097725e-09,-0.0986671085186109,-0.0488702291361748
"44","FLA_YPP_Indirect",":=","(FLA_FSU*FSU_YPS*YPS_YPP)+(FLA_TGW*TGW_YPS*YPS_YPP)","FLA_YPP_Indirect",-0.023880203241461,0.0127256381229999,-1.87654269362734,0.0605807979663777,-0.0488219956428308,0.00106158915990872
"45","FSU_YPP_Indirect",":=","(FSU_YPS*YPS_YPP)+(FSU_TGW*TGW_YPS*YPS_YPP)","FSU_YPP_Indirect",0.353160838173738,0.0150428922465409,23.4769240107364,0,0.323677311147201,0.382644365200275
"46","TGW_YPP_Indirect",":=","(TGW_YPS*YPS_YPP)","TGW_YPP_Indirect",0.173340591421159,0.00818504973616184,21.1777077731531,0,0.157298188726613,0.189382994115706
"47","SPS_YPP_Indirect",":=","(SPS_YPS*YPS_YPP)","SPS_YPP_Indirect",0.160558075426165,0.00762900222049798,21.0457502548327,0,0.145605505836013,0.175510645016317
"48","RTC_YPP_Direct",":=","(RTC_YPP)","RTC_YPP_Direct",0.577507629978521,0.018244296488898,31.654146287852,0,0.541749465937011,0.613265794020032
"49","RTC_YPP_Indirect",":=","(RTC_FSU*FSU_YPS*YPS_YPP)+(RTC_TGW*TGW_YPS*YPS_YPP)","RTC_YPP_Indirect",0.0137836012536135,0.0145877624801227,0.944874258296644,0.344723074881523,-0.0148078878224516,0.0423750903296787
"50","YPS_YPP_Direct",":=","(YPS_YPP)","YPS_YPP_Direct",0.458926587554139,0.0177510797322298,25.8534463523865,0,0.424135110592269,0.493718064516008
